"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",6.2,
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",10.40454,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",11.00325,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",10.61459,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",10.51998,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",10.42357,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",9.958685,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",10.1578,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",10.02697,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",10.2977,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",10.23491,"E"
"OECD","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",10.21455,"E"
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",13.9,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",13,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",12.5,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",12.8,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",12.7,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",14.1,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",14.6,
"GBR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",15.6,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",18.4,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",18,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",18,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",17.7,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",17.5,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",17.3,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",17.6,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",18,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",18.8,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",19.1,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",18.9,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",18.9,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",21.4,
